task_id,set_id,pair_id,is_anchor,pair_type,is_cross_stratum,intersection_a,intersection_b,alt1_att1_streetview,alt1_att2_intensiteit,alt2_att1_streetview,alt2_att2_intensiteit,intensity_wvk_a,intensity_wvk_b,stratum_a,stratum_b
32,1,7220505896774823000,True,backbone,True,176275195,600483010,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,6450.0,350.0,T_VRI,4+_geen_voorrang
33,1,-1187469190475092987,False,hub_spoke,False,183277002,192266023,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,88196bb5c5fffff/89196bb5c5bffff/8a196bb5c587fff/431_03603_front.jpg,Middelmatig,1100.0,4200.0,4+_voorrang,4+_voorrang
34,1,418706921318422135,False,hub_spoke,False,178273039,187263039,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196ba2dbfffff/89196ba2da7ffff/8a196ba2da77fff/399_04069_front.jpg,Laag,400.0,200.0,T_geen_voorrang,T_geen_voorrang
35,1,4066529802584274103,False,within,False,186273103,186279088,88196bb563fffff/89196bb562fffff/8a196bb562c7fff/130_03323_front.jpg,Hoog,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb67fff/13_01277_front.jpg,Hoog,7700.0,6100.0,4+_VRI,4+_VRI
36,1,-58048331060817398,False,hub_spoke,False,178273039,191275054,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb543fffff/89196bb5423ffff/8a196bb5420ffff/37_02545_front.jpg,Laag,400.0,650.0,T_geen_voorrang,T_geen_voorrang
37,2,7220505896774823000,True,backbone,True,176275195,600483010,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,6450.0,350.0,T_VRI,4+_geen_voorrang
38,2,-3682377042380236833,False,within,False,179265069,185274084,88196ba2e3fffff/89196ba2e33ffff/8a196ba2e30ffff/362_00133_front.jpg,Hoog,88196bb567fffff/89196bb5667ffff/8a196bb56647fff/5_01671_front.jpg,Hoog,10300.0,9950.0,4+_VRI,4+_VRI
39,2,317844875930649246,False,within,False,185273145,189267114,88196bb529fffff/89196bb529bffff/8a196bb529b7fff/50_00536_left.jpg,Hoog,88196bb53bfffff/89196bb53a7ffff/8a196bb53a6ffff/554_00091_front.jpg,Middelmatig,6850.0,1050.0,4+_VRI,4+_VRI
40,2,-219352765772989412,False,hub_spoke,False,189276040,600488624,88196bb56bfffff/89196bb544fffff/8a196bb544dffff/1_01051_back.jpg,Hoog,88196bb565fffff/89196bb5643ffff/8a196bb56557fff/1_01590_front.jpg,Hoog,9950.0,9100.0,T_voorrang,T_voorrang
41,2,3485446157583099152,False,hub_spoke,False,181277036,190267091,88196ba24bfffff/89196ba24a7ffff/8a196ba24a57fff/70_03490_front.jpg,Middelmatig,88196bb5e9fffff/89196bb5e9bffff/8a196bb5e997fff/422_00397_front.jpg,Laag,5200.0,250.0,4+_voorrang,4+_voorrang
42,2,7486917555588455888,False,within,False,187274156,190273120,88196bb563fffff/89196bb5633ffff/8a196bb5632ffff/32_07735_front.jpg,Hoog,88196bb509fffff/89196bb508fffff/8a196bb50857fff/523_03029_front.jpg,Hoog,10050.0,21550.0,4+_VRI,4+_VRI
43,2,5066799986496579515,False,hub_spoke,False,184273056,184273072,88196bb52dfffff/89196bb52dbffff/8a196bb52daffff/26_00578_front.jpg,Middelmatig,88196bb52dfffff/89196bb52dbffff/8a196bb52daffff/530_00920_left.jpg,Middelmatig,2725.0,2725.0,T_voorrang,T_voorrang
44,2,-7341518544183778578,False,hub_spoke,False,178273039,185277012,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb0b3fffff/89196bb0b37ffff/8a196bb0b36ffff/123_02127_front.jpg,Laag,400.0,550.0,T_geen_voorrang,T_geen_voorrang
45,2,393960015339734107,False,diagonal,True,183268031,191269022,88196ba2c1fffff/89196ba2c13ffff/8a196ba2c127fff/369_01981_front.jpg,Laag,88196bb511fffff/89196bb510bffff/8a196bb5108ffff/244_03014_front.jpg,Hoog,150.0,9550.0,4+_geen_voorrang,T_VRI
46,2,167480279973156482,False,hub_spoke,False,183263020,184263029,88196ba2d5fffff/89196ba2d4fffff/8a196ba2d4cffff/392_02331_front.jpg,Middelmatig,88196ba2d7fffff/89196ba2d73ffff/8a196ba2d727fff/391_01842_right.jpg,Middelmatig,1200.0,1850.0,T_geen_voorrang,T_geen_voorrang
47,2,6365979147614210379,False,hub_spoke,False,184267042,600483010,88196ba2cbfffff/89196ba2cb3ffff/8a196ba2cb17fff/407_02007_right.jpg,Middelmatig,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,1350.0,350.0,4+_geen_voorrang,4+_geen_voorrang
48,2,-1468630666093391,False,hub_spoke,False,185274093,600483010,88196bb567fffff/89196bb5667ffff/8a196bb56677fff/30_00679_front.jpg,Middelmatig,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,1600.0,350.0,4+_geen_voorrang,4+_geen_voorrang
49,2,2774424091259301678,False,hub_spoke,False,181265038,187270060,88196ba28dfffff/89196ba28d7ffff/8a196ba28d67fff/362_00821_front.jpg,Hoog,88196bb53dfffff/89196bb53d3ffff/8a196bb53d2ffff/550_02203_front.jpg,Middelmatig,6800.0,5250.0,4+_VRI,4+_VRI
50,2,621626600058364131,False,hub_spoke,False,181277036,184268129,88196ba24bfffff/89196ba24a7ffff/8a196ba24a57fff/70_03490_front.jpg,Middelmatig,88196ba2c9fffff/89196bb534bffff/8a196ba2c94ffff/555_00860_front.jpg,Hoog,5200.0,8650.0,4+_voorrang,4+_voorrang
51,2,5576881699999255756,True,backbone,True,183272020,600483010,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,9100.0,350.0,4+_VRI,4+_geen_voorrang
52,2,-4993582873929201989,False,hub_spoke,False,179274126,183272020,88196ba255fffff/89196ba254fffff/8a196ba254d7fff/77_02319_front.jpg,Hoog,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,10750.0,9100.0,4+_VRI,4+_VRI
53,2,9208029324802943005,False,hub_spoke,False,184273072,189275160,88196bb52dfffff/89196bb52dbffff/8a196bb52daffff/530_00920_left.jpg,Middelmatig,88196bb547fffff/89196bb5463ffff/8a196bb54607fff/120_03177_front.jpg,Laag,2725.0,750.0,T_voorrang,T_voorrang
54,2,-2341754789406877228,False,backbone,False,182270019,600483010,88196ba21bfffff/89196ba21b7ffff/8a196ba21b57fff/22_07259_front.jpg,Middelmatig,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,1300.0,350.0,4+_geen_voorrang,4+_geen_voorrang
55,2,3530507415080062826,False,hub_spoke,False,180271187,183272020,88196ba211fffff/89196ba2113ffff/8a196ba2111ffff/86_01275_front.jpg,Middelmatig,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,2950.0,9100.0,4+_VRI,4+_VRI
56,2,-5522761173816686543,False,hub_spoke,False,178273039,190264011,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb5e3fffff/89196bb5e33ffff/8a196bb5e31ffff/425_01820_front.jpg,Laag,400.0,250.0,T_geen_voorrang,T_geen_voorrang
57,2,-6195100666187080972,True,backbone,True,178273039,183272020,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,400.0,9100.0,T_geen_voorrang,4+_VRI
58,2,-2069317661083060852,False,hub_spoke,False,183277002,187265053,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,88196ba2d9fffff/89196ba2d87ffff/8a196ba2d847fff/373_00074_front.jpg,Hoog,1100.0,8750.0,4+_voorrang,4+_voorrang
59,2,-6938565864425922335,False,hub_spoke,False,182270019,183263018,88196ba21bfffff/89196ba21b7ffff/8a196ba21b57fff/22_07259_front.jpg,Middelmatig,88196ba2d7fffff/89196ba2d7bffff/8a196ba2d7b7fff/392_02623_front.jpg,Laag,1300.0,800.0,4+_geen_voorrang,4+_geen_voorrang
60,2,-5982464523462875125,True,backbone,True,183277002,600483010,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,1100.0,350.0,4+_voorrang,4+_geen_voorrang
61,2,1441108080134555593,False,within,False,180271187,186274160,88196ba211fffff/89196ba2113ffff/8a196ba2111ffff/86_01275_front.jpg,Middelmatig,88196bb563fffff/89196bb563bffff/8a196bb56387fff/29_02560_front.jpg,Hoog,2950.0,7950.0,4+_VRI,4+_VRI
62,2,-4413488201578732466,False,hub_spoke,False,183263020,183264037,88196ba2d5fffff/89196ba2d4fffff/8a196ba2d4cffff/392_02331_front.jpg,Middelmatig,88196ba2d5fffff/89196ba2d4bffff/8a196ba2d497fff/379_00184_front.jpg,Laag,1200.0,350.0,T_geen_voorrang,T_geen_voorrang
63,2,-372058535940626788,False,hub_spoke,False,182270019,185276028,88196ba21bfffff/89196ba21b7ffff/8a196ba21b57fff/22_07259_front.jpg,Middelmatig,88196bb565fffff/89196bb5653ffff/8a196bb56507fff/32_00322_front.jpg,Laag,1300.0,850.0,4+_geen_voorrang,4+_geen_voorrang
64,2,6798175148834520986,True,backbone,True,176275195,183277002,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,6450.0,1100.0,T_VRI,4+_voorrang
65,2,9031466863291263316,False,hub_spoke,False,183268167,183277002,88196ba2c9fffff/89196ba2c8fffff/8a196ba2c8e7fff/385_01397_front.jpg,Laag,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,750.0,1100.0,4+_voorrang,4+_voorrang
66,2,-7401548304638205501,False,hub_spoke,False,181263098,181265038,88196ba281fffff/89196ba2803ffff/8a196ba2802ffff/382_00472_front.jpg,Hoog,88196ba28dfffff/89196ba28d7ffff/8a196ba28d67fff/362_00821_front.jpg,Hoog,21950.0,6800.0,4+_VRI,4+_VRI
67,2,6451041849538621112,False,hub_spoke,False,183277002,188269140,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,88196bb539fffff/89196bb5383ffff/8a196bb5380ffff/403_00117_front.jpg,Middelmatig,1100.0,2725.0,4+_voorrang,4+_voorrang
68,2,4229466756013663220,False,within,False,186274160,600097669,88196bb563fffff/89196bb563bffff/8a196bb56387fff/29_02560_front.jpg,Hoog,88196bb5cdfffff/89196bb5cdbffff/8a196bb5cdaffff/434_02518_front.jpg,Hoog,7950.0,8850.0,4+_VRI,4+_VRI
69,2,2295369211723927435,False,hub_spoke,False,181265038,188274022,88196ba28dfffff/89196ba28d7ffff/8a196ba28d67fff/362_00821_front.jpg,Hoog,88196bb50dfffff/89196bb50d3ffff/8a196bb50d17fff/32_07591_front.jpg,Middelmatig,6800.0,5750.0,4+_VRI,4+_VRI
70,2,-5200080172743109903,False,hub_spoke,False,181277036,182268014,88196ba24bfffff/89196ba24a7ffff/8a196ba24a57fff/70_03490_front.jpg,Middelmatig,88196ba2c1fffff/89196ba2c1bffff/8a196ba2c1b7fff/385_00669_front.jpg,Hoog,5200.0,6850.0,4+_voorrang,4+_voorrang
71,2,3986832659416779073,True,backbone,True,176275195,183272020,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,6450.0,9100.0,T_VRI,4+_VRI
72,2,-5234961688605008854,True,backbone,False,178273039,183263020,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196ba2d5fffff/89196ba2d4fffff/8a196ba2d4cffff/392_02331_front.jpg,Middelmatig,400.0,1200.0,T_geen_voorrang,T_geen_voorrang
73,3,3804046436335038297,False,within,False,181263098,186273081,88196ba281fffff/89196ba2803ffff/8a196ba2802ffff/382_00472_front.jpg,Hoog,88196bb529fffff/89196bb5293ffff/8a196bb5290ffff/18_00279_front.jpg,Hoog,21950.0,12150.0,4+_VRI,4+_VRI
74,3,-2008348926099226257,False,hub_spoke,False,190266032,600488624,88196bb5e9fffff/89196bb5e8bffff/8a196bb5e8affff/564_00012_front.jpg,Hoog,88196bb565fffff/89196bb5643ffff/8a196bb56557fff/1_01590_front.jpg,Hoog,13050.0,9100.0,T_voorrang,T_voorrang
75,3,-4999537816884245769,False,hub_spoke,False,182274018,600483010,88196ba251fffff/89196ba250fffff/8a196ba250effff/6_00140_front.jpg,Laag,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,250.0,350.0,4+_geen_voorrang,4+_geen_voorrang
76,3,545679892099702041,False,hub_spoke,False,176275195,191269022,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb511fffff/89196bb510bffff/8a196bb5108ffff/244_03014_front.jpg,Hoog,6450.0,9550.0,T_VRI,T_VRI
77,3,6451041849538621112,False,hub_spoke,False,183277002,188269140,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,88196bb539fffff/89196bb5383ffff/8a196bb5380ffff/403_00117_front.jpg,Middelmatig,1100.0,2725.0,4+_voorrang,4+_voorrang
78,3,-2341754789406877228,False,backbone,False,182270019,600483010,88196ba21bfffff/89196ba21b7ffff/8a196ba21b57fff/22_07259_front.jpg,Middelmatig,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,1300.0,350.0,4+_geen_voorrang,4+_geen_voorrang
79,3,7597978328276706134,False,diagonal,True,189267158,191269022,88196bb5edfffff/89196bb5edbffff/8a196bb5edaffff/422_00719_front.jpg,Laag,88196bb511fffff/89196bb510bffff/8a196bb5108ffff/244_03014_front.jpg,Hoog,150.0,9550.0,4+_geen_voorrang,T_VRI
80,3,4742288891889520627,False,diagonal,True,187273034,189267114,88196bb505fffff/89196bb505bffff/8a196bb50587fff/130_03827_front.jpg,Middelmatig,88196bb53bfffff/89196bb53a7ffff/8a196bb53a6ffff/554_00091_front.jpg,Middelmatig,1850.0,1050.0,T_geen_voorrang,4+_VRI
81,3,6798175148834520986,True,backbone,True,176275195,183277002,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,6450.0,1100.0,T_VRI,4+_voorrang
82,3,-5580225034135881548,False,hub_spoke,False,182270019,187277089,88196ba21bfffff/89196ba21b7ffff/8a196ba21b57fff/22_07259_front.jpg,Middelmatig,88196bb097fffff/89196bb569bffff/8a196bb569b7fff/12_02877_front.jpg,Middelmatig,1300.0,1600.0,4+_geen_voorrang,4+_geen_voorrang
83,3,3986832659416779073,True,backbone,True,176275195,183272020,88196ba20dfffff/89196ba20c3ffff/8a196ba20c1ffff/45_00787_front.jpg,Hoog,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,6450.0,9100.0,T_VRI,4+_VRI
84,3,-5200080172743109903,False,hub_spoke,False,181277036,182268014,88196ba24bfffff/89196ba24a7ffff/8a196ba24a57fff/70_03490_front.jpg,Middelmatig,88196ba2c1fffff/89196ba2c1bffff/8a196ba2c1b7fff/385_00669_front.jpg,Hoog,5200.0,6850.0,4+_voorrang,4+_voorrang
85,3,5576881699999255756,True,backbone,True,183272020,600483010,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,88196bb501fffff/89196bb500fffff/8a196bb500cffff/252_00534_front.jpg,Laag,9100.0,350.0,4+_VRI,4+_geen_voorrang
86,3,-3285468834482710065,False,hub_spoke,False,178273039,192274041,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb555fffff/89196bb5543ffff/8a196bb5551ffff/181_01407_front.jpg,Middelmatig,400.0,1300.0,T_geen_voorrang,T_geen_voorrang
87,3,1531424252752040568,False,hub_spoke,False,180272041,184273072,88196ba257fffff/89196ba256fffff/8a196ba256cffff/42_01558_front.jpg,Hoog,88196bb52dfffff/89196bb52dbffff/8a196bb52daffff/530_00920_left.jpg,Middelmatig,13250.0,2725.0,T_voorrang,T_voorrang
88,3,-6444117710416126265,False,backbone,False,181277036,183277002,88196ba24bfffff/89196ba24a7ffff/8a196ba24a57fff/70_03490_front.jpg,Middelmatig,88196bb0b3fffff/89196bb0b2fffff/8a196bb0b2f7fff/129_02207_front.jpg,Middelmatig,5200.0,1100.0,4+_voorrang,4+_voorrang
89,3,-6407954463498727001,False,hub_spoke,False,181265038,186279088,88196ba28dfffff/89196ba28d7ffff/8a196ba28d67fff/362_00821_front.jpg,Hoog,88196bb0bbfffff/89196bb0bb7ffff/8a196bb0bb67fff/13_01277_front.jpg,Hoog,6800.0,6100.0,4+_VRI,4+_VRI
90,3,-6195100666187080972,True,backbone,True,178273039,183272020,88196ba20bfffff/89196ba20afffff/8a196ba20ac7fff/84_00130_front.jpg,Laag,88196bb52dfffff/89196bb52cbffff/8a196bb52c9ffff/32_04850_front.jpg,Hoog,400.0,9100.0,T_geen_voorrang,4+_VRI
