task_id,set_id,alt1_img1,alt2_img1,alt3_img1
15,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
16,2,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
17,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true
18,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
19,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
20,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
21,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
22,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
23,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
24,3,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
25,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
26,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
27,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
28,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
29,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
30,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
31,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
32,4,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
33,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
34,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
35,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
36,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
37,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
38,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
39,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true
40,5,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
41,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
42,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
43,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
44,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
45,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true
46,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
47,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
48,6,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
49,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
50,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
51,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
52,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
53,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
54,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
55,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
56,7,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
57,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
58,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true
59,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
60,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
61,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true
62,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true
63,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
64,8,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
65,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
66,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
67,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
68,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true
69,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
70,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true
71,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
72,9,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
73,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true
74,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
75,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
76,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
77,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
78,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
79,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
80,10,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
81,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
82,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
83,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
84,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true
85,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
86,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
87,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true
88,11,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true
89,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true
90,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true
91,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
92,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
93,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
94,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true
95,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
96,12,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true
97,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h1/img1.jpg?raw=true
98,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h9/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h2/img1.jpg?raw=true
99,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
100,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true
101,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true
102,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h5/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h4/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true
103,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h6/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h8/img1.jpg?raw=true
104,13,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h3/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h10/img1.jpg?raw=true,https://github.com/PixelSurvey/example-data/blob/main/sj_data/h7/img1.jpg?raw=true
